model,row_index,relative_bag_time_s,right_hip.raw_action,right_hip.target,left_hip.raw_action,left_hip.target,right_thigh.raw_action,right_thigh.target,left_thigh.raw_action,left_thigh.target,right_shank.raw_action,right_shank.target,left_shank.raw_action,left_shank.target,right_foot.raw_action,right_foot.target,left_foot.raw_action,left_foot.target,right_wheel.raw_action,right_wheel.target,left_wheel.raw_action,left_wheel.target,baseline.right_hip_target_rad,baseline.left_hip_target_rad,freeze_current_hip.right_hip_target_rad,freeze_current_hip.left_hip_target_rad,freeze_all_history_hip.right_hip_target_rad,freeze_all_history_hip.left_hip_target_rad,zero_velocity_code.right_hip_target_rad,zero_velocity_code.left_hip_target_rad,full_model_current_q.eps1.dtarget0_dinput0,full_model_current_q.eps1.dtarget0_dinput1,full_model_current_q.eps1.dtarget1_dinput0,full_model_current_q.eps1.dtarget1_dinput1,full_model_current_q.eps2.dtarget0_dinput0,full_model_current_q.eps2.dtarget0_dinput1,full_model_current_q.eps2.dtarget1_dinput0,full_model_current_q.eps2.dtarget1_dinput1,full_model_current_dq.eps1.dtarget0_dinput0,full_model_current_dq.eps1.dtarget0_dinput1,full_model_current_dq.eps1.dtarget1_dinput0,full_model_current_dq.eps1.dtarget1_dinput1,full_model_current_dq.eps2.dtarget0_dinput0,full_model_current_dq.eps2.dtarget0_dinput1,full_model_current_dq.eps2.dtarget1_dinput0,full_model_current_dq.eps2.dtarget1_dinput1,actor_direct_q.eps1.dtarget0_dinput0,actor_direct_q.eps1.dtarget0_dinput1,actor_direct_q.eps1.dtarget1_dinput0,actor_direct_q.eps1.dtarget1_dinput1,actor_direct_q.eps2.dtarget0_dinput0,actor_direct_q.eps2.dtarget0_dinput1,actor_direct_q.eps2.dtarget1_dinput0,actor_direct_q.eps2.dtarget1_dinput1,actor_direct_dq.eps1.dtarget0_dinput0,actor_direct_dq.eps1.dtarget0_dinput1,actor_direct_dq.eps1.dtarget1_dinput0,actor_direct_dq.eps1.dtarget1_dinput1,actor_direct_dq.eps2.dtarget0_dinput0,actor_direct_dq.eps2.dtarget0_dinput1,actor_direct_dq.eps2.dtarget1_dinput0,actor_direct_dq.eps2.dtarget1_dinput1
current_11000,3200,0.0,0.5486469268798828,0.1371617317199707,-0.4974825382232666,-0.12437063455581665,-0.4276120066642761,0.6260969787836075,0.3646654784679413,-0.6418336108326912,0.2294744849205017,-0.11713138222694397,-0.20823363959789276,0.1224415935575962,0.004079073667526245,0.0010197684168815613,0.026564572006464005,0.006641143001616001,0.36269065737724304,0.36269065737724304,-0.3228282630443573,-0.3228282630443573,0.1371617317199707,-0.12437063455581665,0.1371617317199707,-0.12437063455581665,0.1371617317199707,-0.12437063455581665,0.12286500632762909,-0.11781489849090576,-2.401068687438965,1.7971768379211426,2.2875442504882812,-2.2205076217651367,-2.402204990386963,1.7984061241149902,2.288475513458252,-2.2214930057525635,-0.013396143913269043,0.009254366159439087,0.007952377200126648,-0.00974796712398529,-0.013398006558418274,0.009258463978767395,0.007952563464641571,-0.009745731949806213,-2.0336880683898926,2.2041499614715576,2.4232566356658936,-2.16542911529541,-2.034470319747925,2.204533576965332,2.423921585083008,-2.1657159328460693,-0.012171268463134766,0.010842829942703247,0.008280202746391296,-0.009504705667495728,-0.01217275857925415,0.010842457413673401,0.008283182978630066,-0.009501166641712189
current_11000,3201,0.019988376000000585,0.6906793713569641,0.17266984283924103,-0.6483417749404907,-0.16208544373512268,-0.4611457586288452,0.6177135407924652,0.37326088547706604,-0.63968475908041,0.2302597463130951,-0.11693506687879562,-0.18130886554718018,0.12917278707027435,0.022474922239780426,0.0056187305599451065,0.005164917558431625,0.0012912293896079063,0.6419790983200073,0.6419790983200073,-0.40294259786605835,-0.40294259786605835,0.17266984283924103,-0.16208544373512268,0.17254266142845154,-0.16197240352630615,0.17256172001361847,-0.16196900606155396,0.16895461082458496,-0.16227076947689056,-2.6424973011016846,1.991897702217102,2.548083543777466,-2.4291200637817383,-2.6426799297332764,1.9920653104782104,2.548072338104248,-2.4292171001434326,-0.01292005181312561,0.008835643529891968,0.0076867640018463135,-0.009515881538391113,-0.01291520893573761,0.008837878704071045,0.0076830387115478516,-0.009518861770629883,-2.229280710220337,2.3659987449645996,2.6460511684417725,-2.343430995941162,-2.2293736934661865,2.3660919666290283,2.646054983139038,-2.3435018062591553,-0.011609494686126709,0.010389089584350586,0.007940828800201416,-0.00923648476600647,-0.011613219976425171,0.010395422577857971,0.007938593626022339,-0.009245425462722778
current_11000,3202,0.039999250000008146,0.4825890362262726,0.12064725905656815,-0.45563143491744995,-0.11390785872936249,-0.3990590572357178,0.6332352161407471,0.3564262390136719,-0.6438934206962585,0.2184930145740509,-0.11987674981355667,-0.1493149697780609,0.13717126101255417,0.02074480801820755,0.0051862020045518875,0.0015216479077935219,0.00038041197694838047,0.5519856214523315,0.5519856214523315,-0.35346275568008423,-0.35346275568008423,0.12064725905656815,-0.11390785872936249,0.19290123879909515,-0.18575267493724823,0.19482488930225372,-0.18564724922180176,0.12003903836011887,-0.1144598051905632,-2.923916816711426,2.3474879264831543,2.742443084716797,-2.761319160461426,-2.9239001274108887,2.347661018371582,2.7424206733703613,-2.7614755630493164,-0.02848096191883087,0.0263068825006485,0.021614879369735718,-0.025231018662452698,-0.028481706976890564,0.026308931410312653,0.021618418395519257,-0.025231949985027313,-2.5269126892089844,2.622384548187256,2.8790085315704346,-2.5617218017578125,-2.526914596557617,2.6224775314331055,2.879021644592285,-2.561772108078003,-0.027272850275039673,0.027504563331604004,0.022050365805625916,-0.024536997079849243,-0.027273409068584442,0.027504749596118927,0.022052042186260223,-0.024537555873394012
current_11000,3203,0.06004215900000531,0.10605883598327637,0.026514708995819092,-0.07372812926769257,-0.01843203231692314,-0.3039513826370239,0.6570121347904205,0.3839482069015503,-0.6370129287242889,0.27178382873535156,-0.1065540462732315,-0.13150222599506378,0.14162444695830345,0.016242235898971558,0.004060558974742889,-0.050245724618434906,-0.012561431154608727,0.5983269214630127,0.5983269214630127,-0.3393985331058502,-0.3393985331058502,0.026514708995819092,-0.01843203231692314,0.19290028512477875,-0.18679599463939667,0.19765552878379822,-0.18625134229660034,0.023601623252034187,-0.016390586271882057,-3.0673816204071045,2.579315423965454,2.7882258892059326,-3.069603204727173,-3.0672805309295654,2.5794620513916016,2.788127899169922,-3.0697009563446045,-0.036683399230241776,0.03515491262078285,0.029026996344327927,-0.03360770642757416,-0.03668805584311485,0.03515663743019104,0.02903314307332039,-0.033608172088861465,-2.700188159942627,2.8335227966308594,3.0130133628845215,-2.792736291885376,-2.700122356414795,2.8335609436035156,3.012941837310791,-2.7927396297454834,-0.035565346479415894,0.03622537478804588,0.029749050736427307,-0.032543204724788666,-0.03557009622454643,0.03622695803642273,0.029751379042863846,-0.03254297375679016
current_11000,3204,0.08006023299999754,-0.03157631307840347,-0.007894078269600868,0.10387074202299118,0.025967685505747795,-0.3674464821815491,0.6411383599042892,0.37115177512168884,-0.6402120366692543,0.30207741260528564,-0.09898065030574799,-0.18584628403186798,0.1280384324491024,0.010507941246032715,0.0026269853115081787,-0.07754712551832199,-0.019386781379580498,0.7164358496665955,0.7164358496665955,-0.29869896173477173,-0.29869896173477173,-0.007894078269600868,0.025967685505747795,0.15949900448322296,-0.14972229301929474,0.16436780989170074,-0.14759470522403717,-0.00694194994866848,0.020594634115695953,-3.441507339477539,2.485863208770752,2.996178150177002,-3.1147336959838867,-3.4410653114318848,2.4859912395477295,2.9961166381835938,-3.1148011684417725,-0.012107379734516144,0.0068622175604105,0.006356742233037949,-0.00849701464176178,-0.01210502814501524,0.006864848546683788,0.0063559506088495255,-0.008499668911099434,-2.914377450942993,3.0067031383514404,3.188481330871582,-2.98270845413208,-2.9143307209014893,3.00677490234375,3.188452959060669,-2.9827446937561035,-0.01040622591972351,0.009000720456242561,0.006900262087583542,-0.007961038500070572,-0.010403664782643318,0.009001418948173523,0.006898725405335426,-0.007961643859744072
current_11000,3205,0.09998562799999888,0.35518813133239746,0.08879703283309937,-0.25401660799980164,-0.06350415199995041,-0.46822893619537354,0.6159427464008331,0.2758631110191345,-0.6640342026948929,0.25604134798049927,-0.11048966646194458,-0.25293055176734924,0.11126736551523209,0.05861371010541916,0.01465342752635479,-0.02598949708044529,-0.006497374270111322,0.7905840873718262,0.7905840873718262,-0.3058919906616211,-0.3058919906616211,0.08879703283309937,-0.06350415199995041,0.13840575516223907,-0.12302111834287643,0.14023125171661377,-0.12212123721837997,0.0852804034948349,-0.07051748037338257,-3.1797585487365723,2.6045291423797607,2.934474468231201,-3.091799020767212,-3.179868459701538,2.6047768592834473,2.934616804122925,-3.0919666290283203,-0.008145347237586975,0.0033799558877944946,0.002738088369369507,-0.004674121737480164,-0.008145347237586975,0.0033760443329811096,0.002736784517765045,-0.004675239324569702,-2.7757880687713623,2.99306583404541,3.1296870708465576,-2.936953544616699,-2.775862693786621,2.993211030960083,3.1297764778137207,-2.9370782375335693,-0.00685863196849823,0.004964694380760193,0.003294646739959717,-0.004069134593009949,-0.006860494613647461,0.004963204264640808,0.003291480243206024,-0.0040648505091667175
current_11000,3206,0.11999422899999956,0.8222973942756653,0.20557434856891632,-0.7358179688453674,-0.18395449221134186,-0.46984928846359253,0.6155376583337784,0.24463099241256714,-0.6718422323465347,0.22518247365951538,-0.11820438504219055,-0.24539867043495178,0.11315033584833145,0.0558440163731575,0.013961004093289375,0.05827982723712921,0.014569956809282303,0.5181581974029541,0.5181581974029541,-0.15180669724941254,-0.15180669724941254,0.20557434856891632,-0.18395449221134186,0.1675305962562561,-0.14581036567687988,0.1642354130744934,-0.14562880992889404,0.19521458446979523,-0.1863427609205246,-2.599701166152954,2.1285488605499268,2.6433167457580566,-2.5205090045928955,-2.5998129844665527,2.128790855407715,2.643450975418091,-2.520601987838745,-0.007722526788711548,0.003540515899658203,0.002944469451904297,-0.0043332576751708984,-0.007714331150054932,0.0035453587770462036,0.002941116690635681,-0.004335492849349976,-2.239778518676758,2.448700189590454,2.7330143451690674,-2.43536376953125,-2.2399425506591797,2.4488754272460938,2.7330591678619385,-2.435471773147583,-0.006603449583053589,0.004863739013671875,0.003172457218170166,-0.004074722528457642,-0.006598606705665588,0.0048588961362838745,0.003168359398841858,-0.0040724873542785645
current_11000,3207,0.13999287800000104,0.8610818386077881,0.21527045965194702,-0.809861958026886,-0.2024654895067215,-0.3712632358074188,0.6401841714978218,0.3017541170120239,-0.6575614511966705,0.21934840083122253,-0.11966290324926376,-0.16862834990024567,0.13234291598200798,-0.015514425933361053,-0.0038786064833402634,0.16256208717823029,0.04064052179455757,0.02407902479171753,0.02407902479171753,0.3356500267982483,0.3356500267982483,0.21527045965194702,-0.2024654895067215,0.20697541534900665,-0.18948780000209808,0.20201392471790314,-0.18841460347175598,0.19969497621059418,-0.19764989614486694,-2.484738826751709,1.924514651298523,2.5410947799682617,-2.320460796356201,-2.484865427017212,1.9247381687164307,2.5411806106567383,-2.3207030296325684,-0.017273426055908203,0.014598667621612549,0.012065470218658447,-0.014591962099075317,-0.017278268933296204,0.014598667621612549,0.01206807792186737,-0.014597177505493164,-2.106062889099121,2.197273015975952,2.602778196334839,-2.2010726928710938,-2.106152296066284,2.197381019592285,2.602856397628784,-2.201132297515869,-0.01612752676010132,0.015752017498016357,0.012227147817611694,-0.014233589172363281,-0.01612752676010132,0.015751272439956665,0.012229755520820618,-0.014238804578781128
current_11000,3208,0.16004231499999833,-0.20654432475566864,-0.05163608118891716,0.19051320850849152,0.04762830212712288,-0.28897401690483093,0.6607564762234688,0.3742000162601471,-0.6394499763846397,0.22785523533821106,-0.11753619462251663,-0.17014069855213165,0.13196482881903648,-0.029851548373699188,-0.007462887093424797,0.19400237500667572,0.04850059375166893,-0.3037014305591583,-0.3037014305591583,0.36992835998535156,0.36992835998535156,-0.05163608118891716,0.04762830212712288,0.19905483722686768,-0.19146354496479034,0.20218229293823242,-0.19128301739692688,-0.05690841004252434,0.05006340518593788,-3.1456704139709473,2.956697463989258,2.9432213306427,-3.362053871154785,-3.1455540657043457,2.956658363342285,2.943084478378296,-3.361990451812744,-0.060084275901317596,0.06195921450853348,0.05015190690755844,-0.05710795521736145,-0.06008613854646683,0.06195949390530586,0.050155166536569595,-0.05710255354642868,-2.883676290512085,2.975402355194092,3.1959078311920166,-2.9392893314361572,-2.883528232574463,2.9753482341766357,3.1957643032073975,-2.9392287731170654,-0.05933679640293121,0.062051042914390564,0.05098339170217514,-0.055435486137866974,-0.05933847278356552,0.06205309182405472,0.050981342792510986,-0.05544126033782959
current_11000,3209,0.18003065899999626,-0.5614139437675476,-0.1403534859418869,0.6048603057861328,0.1512150764465332,-0.3347896337509155,0.6493025720119476,0.5452929735183716,-0.5966767370700836,0.25783300399780273,-0.11004175245761871,-0.1438063681125641,0.13854841142892838,-0.09351623058319092,-0.02337905764579773,0.049989208579063416,0.012497302144765854,-0.15785637497901917,-0.15785637497901917,0.28057438135147095,0.28057438135147095,-0.1403534859418869,0.1512150764465332,0.11302489042282104,-0.11031243950128555,0.12170581519603729,-0.10410218685865402,-0.1362387239933014,0.1550384759902954,-3.202929973602295,2.298429489135742,2.6324167251586914,-3.0627472400665283,-3.203425407409668,2.2985448837280273,2.6328673362731934,-3.0626914501190186,-0.012600421905517578,0.007785111665725708,0.006743520498275757,-0.009597092866897583,-0.012602657079696655,0.0077858567237854,0.006744265556335449,-0.009595975279808044,-2.724975109100342,2.790734052658081,2.9359607696533203,-2.851605176925659,-2.7252471446990967,2.790931463241577,2.936213970184326,-2.851824998855591,-0.011047720909118652,0.009820610284805298,0.00767931342124939,-0.008685141801834106,-0.011048838496208191,0.009822845458984375,0.007676705718040466,-0.008689239621162415
