row_index,relative_time_s,baseline.right_hip_target_rad,baseline.left_hip_target_rad,zero_velocity_code.right_hip_target_rad,zero_velocity_code.left_hip_target_rad,fixed_initial_velocity_code.right_hip_target_rad,fixed_initial_velocity_code.left_hip_target_rad,freeze_hip_observations.right_hip_target_rad,freeze_hip_observations.left_hip_target_rad,freeze_imu_observations.right_hip_target_rad,freeze_imu_observations.left_hip_target_rad,freeze_current_hip_only.right_hip_target_rad,freeze_current_hip_only.left_hip_target_rad,fixed_initial_latent_code.right_hip_target_rad,fixed_initial_latent_code.left_hip_target_rad,estimated_vx_m_s,estimated_vy_m_s,estimated_vz_m_s
3200,0.0,0.11507164686918259,-0.09568426012992859,0.1223689392209053,-0.10461987555027008,0.11507164686918259,-0.09568426012992859,0.11507164686918259,-0.09568426012992859,0.11507164686918259,-0.09568426012992859,0.11507164686918259,-0.09568426012992859,0.11507164686918259,-0.09568426012992859,-0.025070149451494217,-0.011275291442871094,-0.07437963783740997
3201,0.019988376000000585,0.20518793165683746,-0.18354129791259766,0.20688004791736603,-0.18579979240894318,0.201566681265831,-0.17964060604572296,0.20511703193187714,-0.1834545135498047,0.20508749783039093,-0.1835310161113739,0.2051142305135727,-0.18347212672233582,0.20595233142375946,-0.18409503996372223,0.002920355647802353,-0.005604419857263565,-0.027067288756370544
3202,0.039999250000008146,0.18681009113788605,-0.1815584897994995,0.18187753856182098,-0.17543481290340424,0.16852401196956635,-0.1614847481250763,0.2509421110153198,-0.23444832861423492,0.18667881190776825,-0.1808689385652542,0.2503312826156616,-0.23534779250621796,0.18830130994319916,-0.1829671710729599,0.03785083070397377,0.007910255342721939,0.03771837055683136
3203,0.06004215900000531,0.04454060643911362,-0.05316954106092453,0.025103595107793808,-0.03393038362264633,0.011567836627364159,-0.02242950163781643,0.24864394962787628,-0.23167552053928375,0.04561254382133484,-0.05208443105220795,0.24706541001796722,-0.23252271115779877,0.04732605069875717,-0.05639173835515976,0.030319932848215103,0.011618983000516891,0.06600996851921082
3204,0.08006023299999754,-0.0063651688396930695,0.0013013463467359543,-0.007416734471917152,-0.003329632803797722,0.003999616950750351,-0.014980902895331383,0.17531448602676392,-0.15305933356285095,-0.007762094959616661,0.0018773656338453293,0.17358659207820892,-0.1535034030675888,-0.005476534366607666,-0.00025306083261966705,0.00766383484005928,-0.0018873512744903564,0.08650951087474823
3205,0.09998562799999888,0.05449232459068298,-0.03860926628112793,0.05023670196533203,-0.04678735136985779,0.053202591836452484,-0.04939320683479309,0.13333775103092194,-0.10854363441467285,0.06033361703157425,-0.04352113604545593,0.13313855230808258,-0.10829909145832062,0.055760882794857025,-0.04112519323825836,0.009109940379858017,-0.02402009814977646,0.09372958540916443
3206,0.11999422899999956,0.21712546050548553,-0.1810908019542694,0.20499537885189056,-0.18070030212402344,0.19875112175941467,-0.17379339039325714,0.17056776583194733,-0.14279751479625702,0.2054661065340042,-0.17237839102745056,0.17322225868701935,-0.14119267463684082,0.22013191878795624,-0.18549418449401855,0.03973045572638512,-0.03994910791516304,0.08600221574306488
3207,0.13999287800000104,0.24276868999004364,-0.21478232741355896,0.23897026479244232,-0.2164163738489151,0.22379139065742493,-0.19937072694301605,0.2406645566225052,-0.21839182078838348,0.21304742991924286,-0.1947231888771057,0.2425161749124527,-0.21607427299022675,0.24671287834644318,-0.21987274289131165,0.061626385897397995,-0.023631736636161804,0.06184177100658417
3208,0.16004231499999833,-0.04302964359521866,0.0326467901468277,-0.045063771307468414,0.0399601012468338,-0.07410544902086258,0.0684475302696228,0.2447386384010315,-0.22809310257434845,-0.06110791116952896,0.04700903594493866,0.24358758330345154,-0.227998748421669,-0.036062151193618774,0.023376701399683952,0.023653443902730942,0.015398938208818436,0.012990280985832214
3209,0.18003065899999626,-0.14175035059452057,0.13182945549488068,-0.13874298334121704,0.1364680975675583,-0.13406245410442352,0.13258697092533112,0.10501640290021896,-0.0718446746468544,-0.13733883202075958,0.12350158393383026,0.10245942324399948,-0.07529234886169434,-0.13657446205615997,0.1248348206281662,-0.022330865263938904,0.012427877634763718,-0.015942096710205078
3210,0.20004038100000798,-0.016936637461185455,0.048366397619247437,-0.016868244856595993,0.04450070858001709,-0.012677514925599098,0.04166490584611893,0.021268630400300026,0.018148383125662804,-0.014866406098008156,0.03998038172721863,0.01882142201066017,0.014210550114512444,-0.011075013317167759,0.039051078259944916,-0.02356305718421936,-0.013147540390491486,-0.01511993259191513
3211,0.2199939690000008,0.38902008533477783,-0.34194180369377136,0.3822271227836609,-0.34206727147102356,0.3895505666732788,-0.3457353413105011,0.11345542222261429,-0.07755692303180695,0.39107030630111694,-0.34508392214775085,0.12341969460248947,-0.07985489070415497,0.3965456485748291,-0.3496735095977783,0.053367581218481064,-0.06526117026805878,0.018812358379364014
3212,0.24001380400000016,0.26685458421707153,-0.2604875862598419,0.2979927659034729,-0.28215864300727844,0.29232102632522583,-0.27423372864723206,0.24020346999168396,-0.22748832404613495,0.2835044264793396,-0.27649474143981934,0.2422795295715332,-0.22391080856323242,0.2753257155418396,-0.26811376214027405,0.232060045003891,-0.0548725388944149,0.09598758816719055
3213,0.2600210300000043,-0.5229328274726868,0.5236501097679138,-0.5535135865211487,0.5621068477630615,-0.5624730587005615,0.5672923922538757,0.25889652967453003,-0.23477937281131744,-0.5427759885787964,0.5543944835662842,0.25555023550987244,-0.2317851334810257,-0.5075309872627258,0.5018007159233093,0.10392507910728455,0.04490380361676216,0.11242301762104034
3214,0.28002003000000286,-0.5232478976249695,0.4870936870574951,-0.5770518183708191,0.5539634823799133,-0.5031083226203918,0.47305265069007874,-0.05227760970592499,0.11477800458669662,-0.5072072148323059,0.48739516735076904,-0.052482932806015015,0.11426490545272827,-0.5283846855163574,0.490301251411438,0.008681278675794601,0.0004676003009080887,-0.05773375183343887
3215,0.29999090100000103,0.9968375563621521,-0.9235551953315735,0.980945885181427,-0.9294732809066772,0.9865564703941345,-0.9269296526908875,-0.11650212854146957,0.16494303941726685,1.010576844215393,-0.9234564900398254,-0.1256837695837021,0.16082516312599182,1.0007760524749756,-0.9307578802108765,-0.03844111040234566,-0.02694207802414894,-0.1852525770664215
3216,0.3200601470000066,0.7694898247718811,-0.8116775155067444,0.7900388836860657,-0.8134576082229614,0.7967013716697693,-0.8156813979148865,-0.03761880844831467,0.00468791089951992,0.7977921366691589,-0.8144528269767761,0.005831414833664894,-0.030191780999302864,0.7824810743331909,-0.8190442323684692,0.2874821126461029,-0.2079138606786728,-0.007559590041637421
3217,0.34003780199999767,-2.0364768505096436,2.0666325092315674,-1.943162202835083,1.9600064754486084,-1.925384759902954,1.93572199344635,-0.12240791320800781,0.09469100087881088,-2.02803635597229,2.0713412761688232,-0.15001307427883148,0.11767888069152832,-2.0249414443969727,2.0521600246429443,0.38399839401245117,-0.010665934532880783,0.08118768036365509
3218,0.36002141000000165,0.05376143753528595,-0.17245830595493317,-0.04628925025463104,0.002673717215657234,-0.004087356850504875,-0.035462476313114166,0.7000295519828796,-0.6853414177894592,0.01187390647828579,-0.19019848108291626,0.6810141205787659,-0.6799474358558655,0.05984940379858017,-0.17285706102848053,-0.12817424535751343,0.13221025466918945,-0.42386794090270996
3219,0.3800618860000071,1.859669804573059,-1.7085479497909546,1.760932445526123,-1.7138231992721558,1.7702808380126953,-1.711748719215393,0.1783718317747116,-0.14394104480743408,1.8829172849655151,-1.756537914276123,0.1893617808818817,-0.14117151498794556,1.8821797370910645,-1.738348126411438,-0.18653437495231628,-0.052278097718954086,-0.6674182415008545
3220,0.4000317650000085,-2.1600112915039062,1.9862866401672363,-1.927376389503479,1.693771481513977,-1.9508979320526123,1.720638632774353,-0.6471077799797058,0.459532767534256,-2.0174694061279297,1.9053277969360352,-0.6698521375656128,0.47603198885917664,-2.125429153442383,1.9305294752120972,0.47671234607696533,0.08358345925807953,-0.6611154675483704
3221,0.4200608800000083,-2.5542707443237305,2.409404993057251,-2.816014528274536,2.625328302383423,-2.8124566078186035,2.6317946910858154,0.4173114597797394,-0.29073992371559143,-2.575870990753174,2.521860361099243,0.3955671787261963,-0.24142871797084808,-2.5770020484924316,2.4465174674987793,0.28617262840270996,-0.11361005902290344,-0.6355035901069641
3222,0.44004672799999867,1.8843475580215454,-2.1085193157196045,1.5546560287475586,-1.683995008468628,1.5696508884429932,-1.6957663297653198,0.35526442527770996,-0.45765143632888794,1.7991420030593872,-1.98745858669281,0.34405753016471863,-0.4874465763568878,1.8970457315444946,-2.101372718811035,-0.1632755994796753,0.09078806638717651,-0.659845232963562
3223,0.46003427099999783,1.1956584453582764,-1.397836446762085,1.028407096862793,-1.309926152229309,1.033407211303711,-1.312057614326477,-0.7591436505317688,0.6403757929801941,1.2732199430465698,-1.4093612432479858,-0.9453996419906616,0.9893494844436646,1.3024308681488037,-1.4636075496673584,0.19406455755233765,-0.9461845755577087,-0.6657599210739136
3224,0.48006505099999686,-3.372565746307373,3.678147077560425,-3.2582712173461914,3.5361392498016357,-3.2334465980529785,3.503890037536621,-0.37661558389663696,0.30811524391174316,-3.4720401763916016,3.712813138961792,-0.3267289400100708,0.2877883017063141,-3.3686983585357666,3.6956422328948975,0.7552582025527954,-0.6411287784576416,-0.45095789432525635
3225,0.5000307050000004,0.19539640843868256,-0.29718437790870667,-0.6502943634986877,0.46124014258384705,-0.6245332360267639,0.4471072554588318,1.1507011651992798,-1.3953355550765991,0.13477231562137604,-0.3755456805229187,1.120617389678955,-1.2114753723144531,0.18478387594223022,-0.23133079707622528,-0.0009756125509738922,-0.14713893830776215,-0.9565381407737732
3226,0.5200696769999951,0.9664120078086853,-0.9912894368171692,0.6668636798858643,-0.8696200251579285,0.6800033450126648,-0.8747984766960144,-0.07814254611730576,0.010275823995471,1.2861733436584473,-1.2884560823440552,0.10933201014995575,0.049091339111328125,1.0193473100662231,-0.9903998970985413,-0.491491436958313,-0.3231768310070038,-0.9330748915672302
3227,0.5400708859999952,-1.2805194854736328,1.6669822931289673,-1.3433469533920288,1.3187869787216187,-1.3603280782699585,1.3421820402145386,-0.047664061188697815,0.29782769083976746,-1.25816810131073,1.6467722654342651,-0.009544817730784416,0.3173355162143707,-1.1642773151397705,1.5337005853652954,-0.36201682686805725,-1.4009202718734741,-0.4567776918411255
