tau_cal_0,tau_cal_1,tau_cal_2,tau_cal_3,tau_cal_4,tau_cal_5,tau_cal_6,tau_cal_7,tau_cal_8,tau_cal_9,tau_est_0,tau_est_1,tau_est_2,tau_est_3,tau_est_4,tau_est_5,tau_est_6,tau_est_7,tau_est_8,tau_est_9,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_3,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_7,joint_pos_target_8,joint_pos_target_9,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,
-7.26169,8.63848,-3.71532,-3.61268,-10.6346,0.815446,11.5785,-14.0007,-0.206966,-0.210284,5.1282,-3.95604,-8.93773,10.8913,-19.2918,18.8034,4.0547,-6.63932,-0.0659332,-0.0659332,-0.0333796,0.0238419,-0.381666,0.36717,-2.11433,2.11547,-0.553712,0.602922,-1.1698,0.171474,-0.114268,0.119621,-0.422744,0.326826,-2.23269,2.12392,-0.232331,0.21377,0,0,-0.00610542,-0.00610542,0.00610542,-0.00610542,-0.00610542,-0.0183144,-0.00488472,-0.00488472,-0.0109901,-0.0109901,
-15.8528,24.6365,14.0895,-10.184,-6.37307,-22.285,15.2729,-30.1089,-0.629977,-0.177266,1.02563,0.341873,-6.00732,2.6862,-13.0403,5.90965,8.84103,-11.3026,-0.145054,-0.171429,-0.0352869,0.0253677,-0.380903,0.3645,-2.11242,2.11166,-0.551042,0.600252,-1.1698,0.171474,-0.217737,0.305822,-0.222522,0.240966,-2.17692,1.85001,-0.11141,-0.250026,0,0,-0.189255,0.201466,0.054945,-0.311356,0.189255,-0.421246,0.307692,-0.278389,-0.0109901,-0.0109901,
13.9555,19.9965,55.2974,81.5714,12.9456,12.2046,29.3068,-3.04092,-0.101357,-0.0685135,-4.93285,9.71918,3.36996,-3.27228,-8.84004,-10.4029,12.7795,-20.6291,-0.408791,-0.224174,-0.0635157,0.0547419,-0.370985,0.345808,-2.10403,2.09068,-0.536546,0.572022,-1.1698,0.171092,0.0363966,0.335329,0.268461,1.21207,-1.94248,2.16788,0.318314,0.379372,0,0,-1.65446,1.75214,0.750916,-1.20269,0.531136,-1.75214,0.815628,-2.16361,-0.0329666,-0.0109901,
-3.21551,12.1861,7.34639,62.1872,15.6893,28.1158,10.9296,4.61081,-0.585932,0.213165,-1.12332,16.6544,27.9854,41.1722,5.51892,5.90965,21.2581,-7.35043,-0.408791,-0.092308,-0.096323,0.101664,-0.31796,0.340466,-2.09335,2.0388,-0.505264,0.499161,-1.1698,0.171474,-0.159116,0.291806,-0.129496,1.10327,-1.89236,2.3164,-0.0998314,0.498057,0,0,-0.811966,1.64225,3.20513,2.15507,0.799755,-1.04396,2.03663,-2.58364,0.0109901,-0.0549469,
-25.0825,-1.71709,-22.2889,0.135617,4.09024,29.9509,-7.66111,6.04624,-0.964489,-0.12039,-8.1563,13.0403,19.2918,59.536,15.4823,30.1343,16.8547,0.499146,-0.197803,-0.118683,-0.0421534,0.115778,-0.218394,0.458724,-2.08305,1.9976,-0.440032,0.468642,-1.17018,0.168803,-0.200579,0.127021,-0.290835,0.635038,-2.0492,2.19994,-0.462609,0.542576,0,0,3.60806,0.909645,5.25641,5.2442,-0.347986,-3.91331,3.80464,-1.88034,-0.0988998,-0.252747,
12.4271,-35.1697,-32.95,-14.9203,13.0661,25.6225,-5.26659,0.481512,-0.309676,0.632607,-8.93773,6.20268,6.78877,23.5897,1.90475,34.4322,5.64103,3.20684,-0.514286,0.224174,-0.0368128,0.137522,-0.259212,0.483139,-2.06588,1.91482,-0.427444,0.443465,-1.17247,0.161555,0.0469321,-0.241246,-0.71466,0.336284,-1.8798,2.08779,-0.630636,0.426316,0,0,-1.63004,0.360195,-2.6801,0.567766,1.22711,-3.35165,-1.13797,-0.6105,-0.296703,-0.67033,
18.7586,-20.9816,-41.7157,-6.74779,-22.3986,17.7136,-2.64899,-7.72477,-0.172519,0.526177,-0.830276,-7.0818,-13.0403,-3.17461,0.244202,21.7338,0.827351,0.417093,-0.883518,0.171429,-0.0780115,0.119593,-0.295453,0.502975,-2.02926,1.89231,-0.47818,0.453383,-1.17819,0.155069,0.0748614,-0.144671,-0.812888,0.46117,-2.19205,2.0641,-0.672642,0.268843,0,0,-1.66667,-0.934067,-1.61783,0.995115,2.58242,-0.750916,-2.41758,0.600733,-0.384617,-0.56044,
-1.83422,18.556,-16.4492,12.4065,-35.8385,11.3919,2.88237,-0.705471,0.0287903,0.203321,14.7009,-11.0867,-29.0598,-7.57021,-26.5201,10.5006,-0.581196,-2.68718,-0.303295,0.171429,-0.0745783,0.0535975,-0.369841,0.488098,-1.96746,1.90719,-0.522812,0.454528,-1.18429,0.150873,-0.08458,0.119563,-0.700961,0.58708,-2.26249,2.07589,-0.568998,0.42785,0,0,0.311356,-4.20635,-4.45055,-1.16606,3.09524,1.26374,-2.52503,-0.141636,-0.472527,-0.0549469,
1.96243,3.12375,-35.7991,-4.77399,-59.8635,9.38008,-4.15349,8.93846,-0.350323,-0.24097,6.39804,-5.42125,-25.641,-2.49084,-37.4603,15.6777,1.14188,-2.26325,-0.382416,-0.408791,-0.084878,0.022316,-0.414474,0.523956,-1.89803,1.92969,-0.574311,0.433166,-1.18658,0.159266,-0.0738586,0.0686239,-0.856808,0.541934,-2.46896,2.03941,-0.795913,0.649466,0,0,-0.323565,0.347986,-1.337,2.13065,2.82662,0.164835,-2.12454,-0.639805,-0.0109901,0.758244,
-10.0489,-5.56401,-55.3788,-9.85128,-66.0328,27.5468,-3.6806,1.37433,-0.239215,-0.246008,-4.83516,-4.1514,-35.9951,-2.6862,-53.6752,23.3944,-1.53846,-1.77094,-0.250549,-0.303295,-0.0692377,0.0825891,-0.432021,0.549516,-1.86828,1.88163,-0.593767,0.483902,-1.18582,0.177577,-0.133069,0.0938235,-1.06708,0.478112,-2.55334,2.08738,-0.752416,0.708403,0,0,1.43468,2.1917,-0.592186,1.14164,1.4591,-3.00977,-1.1282,3.7265,0.0988998,0.978024,
