row_index,relative_bag_time_s,model,baseline.right_hip_target_rad,baseline.left_hip_target_rad,freeze_current_hip.right_hip_target_rad,freeze_current_hip.left_hip_target_rad,freeze_all_history_hip.right_hip_target_rad,freeze_all_history_hip.left_hip_target_rad,zero_velocity_code.right_hip_target_rad,zero_velocity_code.left_hip_target_rad,full_model_current_q.dtarget0_dinput0,full_model_current_q.dtarget0_dinput1,full_model_current_q.dtarget1_dinput0,full_model_current_q.dtarget1_dinput1,full_model_current_dq.dtarget0_dinput0,full_model_current_dq.dtarget0_dinput1,full_model_current_dq.dtarget1_dinput0,full_model_current_dq.dtarget1_dinput1,actor_direct_q.dtarget0_dinput0,actor_direct_q.dtarget0_dinput1,actor_direct_q.dtarget1_dinput0,actor_direct_q.dtarget1_dinput1,actor_direct_dq.dtarget0_dinput0,actor_direct_dq.dtarget0_dinput1,actor_direct_dq.dtarget1_dinput0,actor_direct_dq.dtarget1_dinput1
3200,0.0,DWAQ,0.05879843235015869,-0.05893789976835251,0.05879843235015869,-0.05893789976835251,0.05879843235015869,-0.05893789976835251,0.059561651200056076,-0.059523969888687134,-1.4824717044830322,1.7014163732528687,1.7532258033752441,-1.4456472396850586,-0.03501884639263153,0.02411752939224243,0.019201822578907013,-0.04471242427825928,-1.4815646409988403,1.7019155025482178,1.7526856660842896,-1.445919156074524,-0.03495924174785614,0.02417098730802536,0.019169040024280548,-0.04474148154258728
3201,0.019988376000000585,DWAQ,0.1213831678032875,-0.12924253940582275,0.12109401077032089,-0.12870387732982635,0.12109426409006119,-0.1287039965391159,0.12221144884824753,-0.1298532336950302,-1.5595107078552246,1.7556211948394775,1.9674822092056274,-1.600161075592041,-0.03913864493370056,0.023658573627471924,0.027710944414138794,-0.04412233829498291,-1.5587433576583862,1.7561166286468506,1.966863751411438,-1.6006156206130981,-0.03910847008228302,0.023681670427322388,0.027695298194885254,-0.04413202404975891
3202,0.039999250000008146,DWAQ,0.02757745236158371,-0.0346088744699955,0.1420631855726242,-0.15425623953342438,0.14207087457180023,-0.1542627066373825,0.027659066021442413,-0.034626305103302,-2.438504219055176,2.470884323120117,2.7090048789978027,-2.3458003997802734,-0.09517855942249298,0.07162299007177353,0.08590053766965866,-0.09325258433818817,-2.438167095184326,2.471670389175415,2.709200382232666,-2.3461430072784424,-0.0952383503317833,0.0715627372264862,0.08599255234003067,-0.09316038340330124
3203,0.06004215900000531,DWAQ,-0.0828716978430748,0.08216587454080582,0.13572034239768982,-0.14782331883907318,0.13572080433368683,-0.14781971275806427,-0.08212185651063919,0.08102575689554214,-2.1077802181243896,2.0078792572021484,2.552851915359497,-2.2273099422454834,-0.09284541010856628,0.06813406944274902,0.08973926305770874,-0.10216385126113892,-2.1080410480499268,2.0088775157928467,2.554234027862549,-2.2274887561798096,-0.09295903146266937,0.06804391741752625,0.08992999792098999,-0.10200366377830505
3204,0.08006023299999754,DWAQ,-0.010053913109004498,0.0014436813071370125,0.09399449825286865,-0.10393764823675156,0.09401480108499527,-0.10393497347831726,-0.009877053089439869,0.0011547701433300972,-1.7670429944992065,1.981460452079773,1.913346290588379,-1.776561975479126,-0.045370496809482574,0.03223605453968048,0.0271528959274292,-0.054392218589782715,-1.7668715715408325,1.9819912910461426,1.9139795303344727,-1.7764036655426025,-0.04538930952548981,0.03222320228815079,0.027215853333473206,-0.054338015615940094
3205,0.09998562799999888,DWAQ,0.08768267929553986,-0.09452345222234726,0.06655890494585037,-0.07260692864656448,0.06655066460371017,-0.07259295880794525,0.0893680527806282,-0.09594974666833878,-1.4879926443099976,1.9414423704147339,2.044893741607666,-1.7035751342773438,-0.030019506812095642,0.029468536376953125,0.019318237900733948,-0.0490628182888031,-1.4873071908950806,1.941125750541687,2.0438952445983887,-1.703731656074524,-0.029938295483589172,0.029527023434638977,0.01923106610774994,-0.04913024604320526
3206,0.11999422899999956,DWAQ,0.1616896539926529,-0.17097991704940796,0.09912344813346863,-0.10012738406658173,0.09908545762300491,-0.10008915513753891,0.1633203774690628,-0.17239396274089813,-1.3846306800842285,1.7670987844467163,2.0296647548675537,-1.6211047172546387,-0.02931058406829834,0.02077445387840271,0.02290681004524231,-0.04068911075592041,-1.3838856220245361,1.7671732902526855,2.0283608436584473,-1.621760368347168,-0.029247254133224487,0.020826607942581177,0.022821873426437378,-0.040765851736068726
3207,0.13999287800000104,DWAQ,0.12150496989488602,-0.1266082376241684,0.13767248392105103,-0.14417488873004913,0.13765975832939148,-0.14416395127773285,0.12334426492452621,-0.12854400277137756,-1.9678919315338135,2.065736770629883,2.359755277633667,-1.91110360622406,-0.06973892450332642,0.048898160457611084,0.06209760904312134,-0.06770193576812744,-1.9675865173339844,2.066493034362793,2.3595094680786133,-1.9119380712509155,-0.06975419819355011,0.0488772988319397,0.06211921572685242,-0.06767511367797852
3208,0.16004231499999833,DWAQ,-0.20677344501018524,0.22827409207820892,0.1285027414560318,-0.14861206710338593,0.12856033444404602,-0.14864309132099152,-0.1997213363647461,0.21740350127220154,-1.5770270824432373,1.3816430568695068,2.13177490234375,-1.7887725830078125,-0.08140057325363159,0.0607512891292572,0.08742585778236389,-0.09971559047698975,-1.5779136419296265,1.382917046546936,2.1342856884002686,-1.7893239259719849,-0.08152425289154053,0.06065741181373596,0.0876493752002716,-0.09953603148460388
3209,0.18003065899999626,DWAQ,-0.14771267771720886,0.1304091513156891,0.049453653395175934,-0.05753016844391823,0.04953489080071449,-0.05752965807914734,-0.1455446034669876,0.12654893100261688,-1.783355951309204,1.876361608505249,2.0537896156311035,-2.039357900619507,-0.05548298358917236,0.040759891271591187,0.039927661418914795,-0.07828548550605774,-1.7837061882019043,1.8769948482513428,2.05590558052063,-2.038851261138916,-0.0555478036403656,0.040712952613830566,0.04009827971458435,-0.07814690470695496
