row_index,relative_bag_time_s,model,baseline.right_hip_target_rad,baseline.left_hip_target_rad,freeze_current_hip.right_hip_target_rad,freeze_current_hip.left_hip_target_rad,freeze_all_history_hip.right_hip_target_rad,freeze_all_history_hip.left_hip_target_rad,zero_velocity_code.right_hip_target_rad,zero_velocity_code.left_hip_target_rad,full_model_current_q.dtarget0_dinput0,full_model_current_q.dtarget0_dinput1,full_model_current_q.dtarget1_dinput0,full_model_current_q.dtarget1_dinput1,full_model_current_dq.dtarget0_dinput0,full_model_current_dq.dtarget0_dinput1,full_model_current_dq.dtarget1_dinput0,full_model_current_dq.dtarget1_dinput1,actor_direct_q.dtarget0_dinput0,actor_direct_q.dtarget0_dinput1,actor_direct_q.dtarget1_dinput0,actor_direct_q.dtarget1_dinput1,actor_direct_dq.dtarget0_dinput0,actor_direct_dq.dtarget0_dinput1,actor_direct_dq.dtarget1_dinput0,actor_direct_dq.dtarget1_dinput1,recorded.right_hip_target_rad,recorded.left_hip_target_rad
3200,0.0,old,0.11507157981395721,-0.09568434953689575,0.11507158,-0.09568435,0.11507158,-0.09568435,0.122368984,-0.1046199,-1.9873528,2.0951142,1.150582,-1.816187,-0.008971244,0.01344569,0.008218735,-0.01513809,-1.8699355,2.1722689,1.5202425,-1.3652294,-0.008705631,0.013520196,0.0095214695,-0.013745949,0.11503993719816208,-0.09573007375001907
3201,0.019988376000000585,old,0.20518797636032104,-0.1835414469242096,0.2051142,-0.18347213,0.20511696,-0.18345457,0.20688006,-0.18579982,-2.4994535,2.564892,1.7904117,-2.3533626,-0.0037252903,0.005786121,0.0018768013,-0.007086247,-2.3726373,2.6692076,2.1421611,-1.9485279,-0.0032916665,0.006019324,0.0035323203,-0.00564754,0.20515753328800201,-0.18366143107414246
3202,0.039999250000008146,old,0.1868099570274353,-0.18155845999717712,0.25033128,-0.23534779,0.25094214,-0.23444836,0.18187754,-0.17543486,-3.2980068,3.2171903,2.606809,-3.091715,-0.010825694,0.011716783,0.008619577,-0.013038516,-3.1229033,3.3418014,2.9166338,-2.6962085,-0.010257214,0.012038648,0.009901077,-0.011672825,0.186771959066391,-0.1816139817237854
3203,0.06004215900000531,old,0.044540680944919586,-0.05316963791847229,0.24706538,-0.23252268,0.24864395,-0.23167555,0.025103545,-0.033930354,-5.1601825,4.6822352,4.37345,-4.7769136,-0.037062168,0.034201145,0.03379844,-0.03642738,-4.7427673,4.961267,4.5451484,-4.4157095,-0.036019087,0.034984946,0.034498423,-0.035223365,0.044458597898483276,-0.053189024329185486
3204,0.08006023299999754,old,-0.0063651083037257195,0.001301286742091179,0.17358653,-0.15350331,0.17531444,-0.15305929,-0.007416744,-0.0033296049,-2.658842,2.4927943,1.9566984,-2.7370377,0.00060866587,0.0008075498,-0.002482999,-0.002898369,-2.4471612,2.718335,2.341302,-2.2893114,0.0011828495,0.001506228,-0.0013547018,-0.001535099,-0.006389151327311993,0.0012580882757902145
3205,0.09998562799999888,old,0.0544922798871994,-0.038609281182289124,0.13313842,-0.10829909,0.13333769,-0.10854374,0.050236605,-0.046787396,-3.5168452,3.3010838,2.8295665,-3.2006576,0.0015407801,-0.0006515533,-0.0034026802,-0.0007983297,-3.2670832,3.5520902,3.0846295,-2.9157884,0.0026203692,0.00031515956,-0.0023566186,9.313226e-05,0.05447594076395035,-0.038630492985248566
3206,0.11999422899999956,old,0.21712544560432434,-0.18109078705310822,0.17322238,-0.14119269,0.1705678,-0.1427976,0.20499533,-0.18070024,-3.2558515,2.9261856,2.8005166,-2.658315,-0.009072572,0.00731349,0.007262826,-0.008698553,-2.9494984,3.186591,2.8980298,-2.5120451,-0.0073693693,0.008393824,0.007888675,-0.008181483,0.21711896359920502,-0.18109281361103058
3207,0.13999287800000104,old,0.2427687644958496,-0.21478238701820374,0.24251622,-0.21607436,0.24066469,-0.21839193,0.23897022,-0.21641633,-0.91497594,1.3279765,0.37089732,-1.0207965,-0.015672296,0.020373613,0.012835115,-0.020360947,-0.950545,1.226224,0.81865484,-0.49357113,-0.016392022,0.01963377,0.015863776,-0.017993152,0.242758110165596,-0.21478402614593506
3208,0.16004231499999833,old,-0.043029554188251495,0.0326467789709568,0.24358757,-0.22799864,0.24473858,-0.22809303,-0.0450638,0.039960146,-4.621066,4.397843,4.026016,-4.5801473,-0.046293437,0.044040382,0.044112466,-0.046968833,-4.2624288,4.5437775,4.2195654,-4.122909,-0.045491382,0.044267625,0.044908002,-0.04544556,-0.04303686320781708,0.032644372433423996
3209,0.18003065899999626,old,-0.14175039529800415,0.13182953000068665,0.1024594,-0.07529227,0.10501638,-0.07184468,-0.138743,0.13646819,-4.29485,4.088573,3.3365338,-4.6385303,-0.015524775,0.018122792,0.013388693,-0.023113936,-4.024245,4.4040527,3.8161573,-4.0531826,-0.01501441,0.018948317,0.014319271,-0.021605194,-0.1417541205883026,0.1318233162164688
3210,0.20004038100000798,old,-0.01693669706583023,0.04836646467447281,0.018821334,0.014210622,0.02126863,0.018148355,-0.016868297,0.044500798,-4.2715435,4.3838573,3.6292949,-4.1819863,-0.012275018,0.015384704,0.010315701,-0.015775114,-4.112306,4.5714064,3.9220524,-3.8646421,-0.011615362,0.015993044,0.011280552,-0.014852546,-0.016936665400862694,0.04836641997098923
3211,0.2199939690000008,old,0.3890201449394226,-0.3419416844844818,0.123419665,-0.079854816,0.11345541,-0.077556916,0.38222733,-0.34206745,-2.2063403,1.6219764,2.4304986,-1.443222,-0.049474835,0.039690733,0.047266483,-0.04080385,-1.7823129,2.0622015,2.2570043,-1.6222893,-0.04553497,0.04196763,0.04543066,-0.041884184,0.3890201449394226,-0.3419416844844818
3212,0.24001380400000016,old,0.26685449481010437,-0.26048752665519714,0.2422795,-0.22391082,0.24020351,-0.22748832,0.2979928,-0.2821587,-0.5854964,0.27169287,1.3671069,-0.27675927,-0.035248697,0.033468008,0.03579706,-0.031101704,-0.36068258,0.5104244,1.1598766,-0.42720136,-0.03390014,0.034108758,0.034236908,-0.03169775,0.266854465007782,-0.2604875862598419
