row_index,relative_bag_time_s,model,baseline.right_hip_target_rad,baseline.left_hip_target_rad,freeze_current_hip.right_hip_target_rad,freeze_current_hip.left_hip_target_rad,freeze_all_history_hip.right_hip_target_rad,freeze_all_history_hip.left_hip_target_rad,zero_velocity_code.right_hip_target_rad,zero_velocity_code.left_hip_target_rad,full_model_current_q.eps1.dtarget0_dinput0,full_model_current_q.eps1.dtarget0_dinput1,full_model_current_q.eps1.dtarget1_dinput0,full_model_current_q.eps1.dtarget1_dinput1,full_model_current_q.eps2.dtarget0_dinput0,full_model_current_q.eps2.dtarget0_dinput1,full_model_current_q.eps2.dtarget1_dinput0,full_model_current_q.eps2.dtarget1_dinput1,full_model_current_dq.eps1.dtarget0_dinput0,full_model_current_dq.eps1.dtarget0_dinput1,full_model_current_dq.eps1.dtarget1_dinput0,full_model_current_dq.eps1.dtarget1_dinput1,full_model_current_dq.eps2.dtarget0_dinput0,full_model_current_dq.eps2.dtarget0_dinput1,full_model_current_dq.eps2.dtarget1_dinput0,full_model_current_dq.eps2.dtarget1_dinput1,actor_direct_q.eps1.dtarget0_dinput0,actor_direct_q.eps1.dtarget0_dinput1,actor_direct_q.eps1.dtarget1_dinput0,actor_direct_q.eps1.dtarget1_dinput1,actor_direct_q.eps2.dtarget0_dinput0,actor_direct_q.eps2.dtarget0_dinput1,actor_direct_q.eps2.dtarget1_dinput0,actor_direct_q.eps2.dtarget1_dinput1,actor_direct_dq.eps1.dtarget0_dinput0,actor_direct_dq.eps1.dtarget0_dinput1,actor_direct_dq.eps1.dtarget1_dinput0,actor_direct_dq.eps1.dtarget1_dinput1,actor_direct_dq.eps2.dtarget0_dinput0,actor_direct_dq.eps2.dtarget0_dinput1,actor_direct_dq.eps2.dtarget1_dinput0,actor_direct_dq.eps2.dtarget1_dinput1
3200,0.0,2026-09-16_15-12-04,0.11507163941860199,-0.09568421542644501,0.11507163941860199,-0.09568421542644501,0.11507163941860199,-0.09568421542644501,0.1223689392209053,-0.10461986809968948,-1.9873454570770264,2.095088243484497,1.1505744457244873,-1.8161683082580566,-1.9804946184158325,2.089831829071045,1.1431965827941895,-1.8106101751327515,-0.008970871567726135,0.013442710041999817,0.008221343159675598,-0.015141069889068604,-0.00897292047739029,0.013444758951663971,0.008222460746765137,-0.01514144241809845,-1.869928002357483,2.1722538471221924,1.5202573537826538,-1.3652517795562744,-1.8636788129806519,2.1658072471618652,1.5136971473693848,-1.3582631349563599,-0.0087052583694458,0.013522058725357056,0.009522214531898499,-0.013748183846473694,-0.008706748485565186,0.013522431254386902,0.009522959589958191,-0.013748928904533386
3201,0.019988376000000585,2026-09-16_15-12-04,0.20518793165683746,-0.18354128301143646,0.2051142156124115,-0.18347206711769104,0.20511703193187714,-0.1834545135498047,0.20688003301620483,-0.18579979240894318,-2.4994611740112305,2.564936637878418,1.790404200553894,-2.353370189666748,-2.4973487854003906,2.563737154006958,1.78806471824646,-2.3519880771636963,-0.003727525472640991,0.005790591239929199,0.0018768012523651123,-0.007086992263793945,-0.0037278980016708374,0.005788728594779968,0.0018790364265441895,-0.007086247205734253,-2.372659683227539,2.669185161590576,2.1422057151794434,-1.94847571849823,-2.3709757328033447,2.667616844177246,2.1404101848602295,-1.9465534687042236,-0.003287196159362793,0.006019324064254761,0.0035300850868225098,-0.005647540092468262,-0.0032864511013031006,0.006020441651344299,0.003528967499732971,-0.005649775266647339
3202,0.039999250000008146,2026-09-16_15-12-04,0.18681007623672485,-0.1815585047006607,0.25033125281333923,-0.23534779250621796,0.2509421110153198,-0.23444829881191254,0.18187753856182098,-0.17543481290340424,-3.297991991043091,3.217197895050049,2.606898307800293,-3.091715097427368,-3.298144578933716,3.217827320098877,2.6069767475128174,-3.092348337173462,-0.010828673839569092,0.011721253395080566,0.008623301982879639,-0.013040006160736084,-0.010825321078300476,0.011721253395080566,0.00862032175064087,-0.013038143515586853,-3.1228809356689453,3.3418161869049072,2.916656255722046,-2.696223497390747,-3.1231231689453125,3.3421401977539062,2.9169058799743652,-2.6964170932769775,-0.010257214307785034,0.012040883302688599,0.009901076555252075,-0.011672824621200562,-0.010256469249725342,0.012041628360748291,0.009899958968162537,-0.011673569679260254
3203,0.06004215900000531,2026-09-16_15-12-04,0.0445406436920166,-0.05316953361034393,0.2470654398202896,-0.23252268135547638,0.24864394962787628,-0.23167553544044495,0.025103578343987465,-0.033930353820323944,-5.160215854644775,4.682201862335205,4.37346076965332,-4.776891231536865,-5.163870334625244,4.684382915496826,4.376580715179443,-4.779068470001221,-0.037058815360069275,0.034203752875328064,0.0337943434715271,-0.03642924129962921,-0.03706030547618866,0.034199655055999756,0.03379564732313156,-0.03642551600933075,-4.742782115936279,4.961252212524414,4.545192718505859,-4.415705680847168,-4.745274543762207,4.963999271392822,4.547303199768066,-4.418158531188965,-0.03601647913455963,0.03498643636703491,0.03449767827987671,-0.03522820770740509,-0.0360170379281044,0.034986063838005066,0.03449879586696625,-0.035228580236434937
3204,0.08006023299999754,2026-09-16_15-12-04,-0.006365152075886726,0.0013013537973165512,0.1735866218805313,-0.1535034030675888,0.1753145009279251,-0.15305930376052856,-0.007416725158691406,-0.0033296216279268265,-2.6588568687438965,2.492805004119873,1.9566974639892578,-2.737041473388672,-2.6595633029937744,2.493656635284424,1.9573372602462769,-2.738725185394287,0.000605359673500061,0.0008084811270236969,-0.002479180693626404,-0.0028971582651138306,0.0006054062396287918,0.0008081085979938507,-0.002480205148458481,-0.0028938986361026764,-2.4471421241760254,2.718330144882202,2.3412983417510986,-2.2892987728118896,-2.4478275775909424,2.719111680984497,2.3421831130981445,-2.2903661727905273,0.0011851079761981964,0.0015060417354106903,-0.0013560056686401367,-0.0015353783965110779,0.0011852942407131195,0.001505902037024498,-0.001356564462184906,-0.001534540206193924
3205,0.09998562799999888,2026-09-16_15-12-04,0.054492317140102386,-0.03860927373170853,0.13313855230808258,-0.10829910635948181,0.13333772122859955,-0.10854364931583405,0.05023668706417084,-0.04678735136985779,-3.5168564319610596,3.3010504245758057,2.829585075378418,-3.2006053924560547,-3.5184452533721924,3.3020169734954834,2.8311123847961426,-3.2016372680664062,0.001545250415802002,-0.0006493180990219116,-0.003400072455406189,-0.0008001923561096191,0.0015459954738616943,-0.0006498768925666809,-0.0033996999263763428,-0.0008005648851394653,-3.2671055793762207,3.552086591720581,3.0846593379974365,-2.9157919883728027,-3.268230438232422,3.5531575679779053,3.0856802463531494,-2.916825771331787,0.0026166439056396484,0.0003155320882797241,-0.0023540109395980835,9.350478649139404e-05,0.002617575228214264,0.00031422823667526245,-0.0023543834686279297,9.499490261077881e-05
3206,0.11999422899999956,2026-09-16_15-12-04,0.21712546050548553,-0.1810908019542694,0.17322224378585815,-0.14119267463684082,0.17056776583194733,-0.14279751479625702,0.20499537885189056,-0.18070028722286224,-3.2558960914611816,2.9262301921844482,2.8004868030548096,-2.6583669185638428,-3.254547595977783,2.9248669147491455,2.7993133068084717,-2.6564297676086426,-0.009069591760635376,0.00731348991394043,0.007256120443344116,-0.00869855284690857,-0.009069591760635376,0.00731348991394043,0.007255375385284424,-0.008696690201759338,-2.949491024017334,3.1865909099578857,2.8980298042297363,-2.5121121406555176,-2.94767689704895,3.184657335281372,2.8961894512176514,-2.509612560272217,-0.007368624210357666,0.008387863636016846,0.00788867473602295,-0.008179247379302979,-0.007366016507148743,0.008387863636016846,0.007884949445724487,-0.008180737495422363
3207,0.13999287800000104,2026-09-16_15-12-04,0.24276870489120483,-0.21478234231472015,0.2425161749124527,-0.21607425808906555,0.2406645566225052,-0.2183918058872223,0.23897027969360352,-0.2164163738489151,-0.9149982929229736,1.3279690742492676,0.3709569275379181,-1.020796537399292,-0.914961040019989,1.3278274536132812,0.37106868624687195,-1.020301103591919,-0.015670061111450195,0.020376592874526978,0.01282915472984314,-0.020360946655273438,-0.015671178698539734,0.020378828048706055,0.012829527258872986,-0.020363181829452515,-0.9505897164344788,1.2262612581253052,0.8186399340629578,-0.49354878067970276,-0.9502544403076172,1.2260749340057373,0.8183493614196777,-0.49304959177970886,-0.016395747661590576,0.01963302493095398,0.015866011381149292,-0.01799836754798889,-0.016396865248680115,0.01963116228580475,0.01586340367794037,-0.017996877431869507
3208,0.16004231499999833,2026-09-16_15-12-04,-0.04302961379289627,0.03264676779508591,0.24358756840229034,-0.22799871861934662,0.2447386533021927,-0.22809310257434845,-0.04506378620862961,0.039960116147994995,-4.62108850479126,4.397872447967529,4.02604866027832,-4.580183506011963,-4.621880054473877,4.399774551391602,4.026619911193848,-4.582455635070801,-0.0462949275970459,0.0440351665019989,0.0441133975982666,-0.04696249961853027,-0.046294182538986206,0.04403442144393921,0.04411265254020691,-0.04696398973464966,-4.262447357177734,4.54376220703125,4.219554901123047,-4.122885704040527,-4.263596534729004,4.545282363891602,4.220765113830566,-4.124457359313965,-0.04549399018287659,0.04426799714565277,0.044912099838256836,-0.045450031757354736,-0.04549417644739151,0.04426874220371246,0.04491303116083145,-0.04544965922832489
3209,0.18003065899999626,2026-09-16_15-12-04,-0.14175035059452057,0.13182950019836426,0.10245943069458008,-0.07529234141111374,0.10501638799905777,-0.07184471189975739,-0.13874299824237823,0.1364680975675583,-4.2948126792907715,4.08858060836792,3.336541175842285,-4.638574600219727,-4.297975063323975,4.093929767608643,3.340203046798706,-4.6448516845703125,-0.015524029731750488,0.018125027418136597,0.013393163681030273,-0.023111701011657715,-0.015526264905929565,0.01812279224395752,0.01339353621006012,-0.023111701011657715,-4.0241923332214355,4.404052734375,3.8161425590515137,-4.053197383880615,-4.02835750579834,4.409398555755615,3.8209071159362793,-4.0594916343688965,-0.015010684728622437,0.018946081399917603,0.01432076096534729,-0.021604448556900024,-0.015012547373771667,0.01894831657409668,0.014321506023406982,-0.021605193614959717
