run,case,window,joint,first_order_sum,second_order_sum,first_order_share_percent,second_order_share_percent,combined_share_percent,combined_reward_magnitude
2026-09-21_20-20-10,right-delay15-noise,whole,right_hip_joint,78.9262099917074,186.97258602888752,2.0567863433369684,3.9318310548030757,2.6516838957737936,0.5961637190101609
2026-09-21_20-20-10,right-delay15-noise,whole,left_hip_joint,72.5047483497913,166.42110937767274,1.8894455498192901,3.4996557512704918,2.4003187582790138,0.5396506574656743
2026-09-21_20-20-10,right-delay15-noise,whole,right_thigh_joint,102.73641908948507,284.43450070866555,2.6772711342505593,5.981349601545075,3.725559839705386,0.8375974274209387
2026-09-21_20-20-10,right-delay15-noise,whole,left_thigh_joint,117.8889444137114,331.6188718821511,3.0721400524110893,6.973585842277191,4.309956162695483,0.9689840854780724
2026-09-21_20-20-10,right-delay15-noise,whole,right_shank_joint,59.151600777090565,157.76339507130905,1.5414677162076205,3.3175933928447794,2.1049811147897133,0.4732514957153259
2026-09-21_20-20-10,right-delay15-noise,whole,left_shank_joint,55.55837695505147,146.69057176339481,1.4478297005661807,3.084743906879612,1.9671753187960055,0.44226936546529816
2026-09-21_20-20-10,right-delay15-noise,whole,right_foot_joint,12.726761187663069,28.15935471272678,0.33165444797674504,0.5921607423540071,0.41430557409215635,0.09314607681974245
2026-09-21_20-20-10,right-delay15-noise,whole,left_foot_joint,7.936677057327146,16.981692770737173,0.20682671807884154,0.3571066134197522,0.2545061901319995,0.05721924738541434
2026-09-21_20-20-10,right-delay15-noise,whole,right_wheel_joint,1659.6393153739627,1659.7932014102203,43.24955523754319,34.90365401935148,40.601641735950125,9.128247063611182
2026-09-21_20-20-10,right-delay15-noise,whole,left_wheel_joint,1670.286744473308,1776.5212771947295,43.52702309980951,37.35831907525454,41.569871409786316,9.345928893685327
2026-09-21_20-20-10,right-delay15-noise,startup_0_2s,right_hip_joint,2.38136961892745,6.749879665250834,1.5224752129575414,5.69896728573446,2.446141943451083,0.019650297973586053
2026-09-21_20-20-10,right-delay15-noise,startup_0_2s,left_hip_joint,2.979262709002983,8.592743928689412,1.9047247396179894,7.254909564743267,3.0879636010469462,0.02480616672904605
2026-09-21_20-20-10,right-delay15-noise,startup_0_2s,right_thigh_joint,2.2332760496505637,4.944510644542563,1.4277949135909864,4.174682483938285,2.035292453853063,0.0163498701654161
2026-09-21_20-20-10,right-delay15-noise,startup_0_2s,left_thigh_joint,3.3418356241589917,7.2258766360767845,2.1365275945076063,6.100854622898564,3.013272221604768,0.024206157450751144
2026-09-21_20-20-10,right-delay15-noise,startup_0_2s,right_shank_joint,1.1250102890718574,2.9230429138827323,0.7192500760153029,2.467944136363589,1.105988634884741,0.008884605527111528
2026-09-21_20-20-10,right-delay15-noise,startup_0_2s,left_shank_joint,1.2041479392337802,2.935674366814502,0.7698449562999932,2.478608954197312,1.1477526423724034,0.009220103307156875
2026-09-21_20-20-10,right-delay15-noise,startup_0_2s,right_foot_joint,0.3505284901095051,0.6924974700657558,0.22410252208874462,0.5846801162509263,0.3038473226738837,0.0024408601655366543
2026-09-21_20-20-10,right-delay15-noise,startup_0_2s,left_foot_joint,0.29056067942391034,0.45367966987929736,0.18576344838154374,0.38304469487884485,0.22939387333257072,0.0018427622225145874
2026-09-21_20-20-10,right-delay15-noise,startup_0_2s,right_wheel_joint,78.24087902249661,46.939688707836154,50.021549785879685,39.63148435455502,47.723698479248405,0.38337304915174075
2026-09-21_20-20-10,right-delay15-noise,startup_0_2s,left_wheel_joint,64.26747371042624,36.982806280483445,41.08796675066061,31.224823786439732,38.90664882753214,0.3125441042624302
2026-09-21_20-20-10,right-delay15-noise,standing_2_10s,right_hip_joint,5.1077980400243765,11.792618139785382,1.2093884290218693,2.4084200189719582,1.572713377483919,0.038120119369775586
2026-09-21_20-20-10,right-delay15-noise,standing_2_10s,left_hip_joint,4.715531695031293,9.995593126588819,1.1165103678667592,2.0414115256014846,1.396769593964753,0.0338555164700084
2026-09-21_20-20-10,right-delay15-noise,standing_2_10s,right_thigh_joint,7.987318803320138,24.975286107012703,1.8911810654906154,5.100731519215997,2.8637240434739257,0.06941220437379961
2026-09-21_20-20-10,right-delay15-noise,standing_2_10s,left_thigh_joint,8.55702282691501,26.817730850624734,2.0260715699122724,5.477016136572871,3.0717606637913955,0.07445468758359715
2026-09-21_20-20-10,right-delay15-noise,standing_2_10s,right_shank_joint,3.7934495755939963,10.898226661583152,0.8981862608607378,2.22575741467437,1.3004606672082135,0.031521138294750714
2026-09-21_20-20-10,right-delay15-noise,standing_2_10s,left_shank_joint,4.4846857373539635,13.129828211376111,1.061852288609557,2.681519975895404,1.5526364213556119,0.03763348526648002
2026-09-21_20-20-10,right-delay15-noise,standing_2_10s,right_foot_joint,0.9303874174181965,2.4635024315241476,0.22029057694061388,0.5031239460601097,0.305993422570366,0.007416803316959007
2026-09-21_20-20-10,right-delay15-noise,standing_2_10s,left_foot_joint,0.7668430381900213,1.6649180571261388,0.18156769120389127,0.34002813719561914,0.22958363495030623,0.005564749238449294
2026-09-21_20-20-10,right-delay15-noise,standing_2_10s,right_wheel_joint,198.53942092212793,207.53514444834673,47.00876512470293,42.385142180032624,45.607736509476695,1.1054604003610318
2026-09-21_20-20-10,right-delay15-noise,standing_2_10s,left_wheel_joint,187.4630777083674,180.36841249745297,44.38618662539074,36.83684914577955,42.098621665724814,1.0204049295796491
2026-09-21_20-20-10,right-delay15-noise,drive_onset_10_12s,right_hip_joint,1.8583165311734984,4.9384818568137625,1.5138528449031845,4.172531139720276,2.2198708887174057,0.014840988909914636
2026-09-21_20-20-10,right-delay15-noise,drive_onset_10_12s,left_hip_joint,1.5920769992025736,3.895666558028097,1.2969643513991427,3.2914548427290358,1.8266058194322932,0.012211807833852442
2026-09-21_20-20-10,right-delay15-noise,drive_onset_10_12s,right_thigh_joint,1.524781162152448,4.295752565064746,1.2421426928391015,3.6294881435142736,1.8761076852491458,0.012542753496206913
2026-09-21_20-20-10,right-delay15-noise,drive_onset_10_12s,left_thigh_joint,2.2339254709820064,6.118628239925297,1.819837671794385,5.169638687289186,2.7093849196644917,0.018113644243815973
2026-09-21_20-20-10,right-delay15-noise,drive_onset_10_12s,right_shank_joint,1.6690138563517904,4.527477600587762,1.3596399387490017,3.8252729929085336,2.014394381606917,0.013467271826288804
2026-09-21_20-20-10,right-delay15-noise,drive_onset_10_12s,left_shank_joint,1.5111428536192142,3.975821244019012,1.231032426193803,3.3591776638284285,1.7961662148723305,0.012008303280505376
